@id,dct:created,dct:description,dct:modified,rdf:type,rdfs:label,rdfs:seeAlso,skos:altLabel,skos:broader,skos:closeMatch,skos:definition,skos:inScheme,skos:narrower,skos:prefLabel,skos:related,skos:relatedMatch,skos:topConceptOf
<http://registry.it.csiro.au/def/agldwg/agift/emergency-funding>,'2003-08-28'^^xsd:date,"'Managing financial resources allocated for the provision of emergency services. Includes receiving revenue, investing funds and making payments to eligible organisations.

See also COMMUNITY SERVICES - Accommodation services - Emergency accommodation: for providing housing after a crisis.

See also COMMUNITY SERVICES - Natural disasters - Disaster relief: for financial assistance to those affected by natural disasters.

See also DEFENCE - Emergency management: for cross-jurisdictional operations to deal with large-scale crises.'@en",'2015-06-11T07:24:05Z'^^xsd:dateTime,skos:Concept,'Emergency funding'@en,,'Emergency funds'@en|'Disaster funds'@en,<http://registry.it.csiro.au/def/agldwg/agift/emergency-services>,,"'Managing financial resources allocated for the provision of emergency services. Includes receiving revenue, investing funds and making payments to eligible organisations.

See also COMMUNITY SERVICES - Accommodation services - Emergency accommodation: for providing housing after a crisis.

See also COMMUNITY SERVICES - Natural disasters - Disaster relief: for financial assistance to those affected by natural disasters.

See also DEFENCE - Emergency management: for cross-jurisdictional operations to deal with large-scale crises.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Emergency funding'@en,<http://registry.it.csiro.au/def/agldwg/agift/emergency-management>,,
<http://registry.it.csiro.au/def/agldwg/agift/emergency-management>,'2003-08-28'^^xsd:date,"'Managing cross-jurisdictional operations to deal with large-scale crises. Developing policy and strategies for emergency prevention, response and recovery. Coordinating services and resources to provide a comprehensive and integrated emergency management framework.

See also COMMUNITY SERVICES - Accommodation services - Emergency accommodation: for providing temporary housing in times of disaster.

See also COMMUNITY SERVICES - Emergency services: for regional programs offering urgent crisis assistance.

See also COMMUNITY SERVICES - Natural disasters: for emergencies caused by the elements such as floods, earthquakes or cyclones.

See also HEALTH CARE - Public health services - Health disaster preparedness: for strategies to handle a large-scale medical emergency.

See also MARITIME SERVICES - Search and rescue: for coordinating maritime emergency services.

See also SECURITY - Law enforcement: for police services.'@en",'2015-06-11T07:52:41Z'^^xsd:dateTime,skos:Concept,'Emergency management'@en,,'Counter-terrorism activities'@en|'Emergencies'@en|'State of emergency'@en|'Martial law'@en|'National emergency'@en|'Terrorism'@en,<http://registry.it.csiro.au/def/agldwg/agift/defence>,,"'Managing cross-jurisdictional operations to deal with large-scale crises. Developing policy and strategies for emergency prevention, response and recovery. Coordinating services and resources to provide a comprehensive and integrated emergency management framework.

See also COMMUNITY SERVICES - Accommodation services - Emergency accommodation: for providing temporary housing in times of disaster.

See also COMMUNITY SERVICES - Emergency services: for regional programs offering urgent crisis assistance.

See also COMMUNITY SERVICES - Natural disasters: for emergencies caused by the elements such as floods, earthquakes or cyclones.

See also HEALTH CARE - Public health services - Health disaster preparedness: for strategies to handle a large-scale medical emergency.

See also MARITIME SERVICES - Search and rescue: for coordinating maritime emergency services.

See also SECURITY - Law enforcement: for police services.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,<http://registry.it.csiro.au/def/agldwg/agift/disaster-support>|<http://registry.it.csiro.au/def/agldwg/agift/civil-community-assistance>,'Emergency management'@en,<http://registry.it.csiro.au/def/agldwg/agift/ambulance-services>|<http://registry.it.csiro.au/def/agldwg/agift/external-security>|<http://registry.it.csiro.au/def/agldwg/agift/emergency-funding>|<http://registry.it.csiro.au/def/agldwg/agift/emergency-accommodation>|<http://registry.it.csiro.au/def/agldwg/agift/health-disaster-preparedness>|<http://registry.it.csiro.au/def/agldwg/agift/natural-disasters>|<http://registry.it.csiro.au/def/agldwg/agift/law-enforcement>|<http://registry.it.csiro.au/def/agldwg/agift/firefighting-services>|<http://registry.it.csiro.au/def/agldwg/agift/search-and-rescue>|<http://registry.it.csiro.au/def/agldwg/agift/emergency-services>,,
<http://registry.it.csiro.au/def/agldwg/agift/emergency-services>,'2003-08-28'^^xsd:date,"'Managing programs to provide urgent assistance in times of crisis or unforeseen circumstances. Monitoring compliance with equipment standards and regulating the use of volunteers. Coordinating government and community-based services within a region, in times of emergency. Includes land-based search and rescue operations outside urban areas.

See also COMMUNITY SERVICES - Accommodation services - Emergency accommodation: for providing temporary housing in times of disaster.

See also COMMUNITY SERVICES - Emergency services - Firefighting services: for urban search and rescue operations.

See also COMMUNITY SERVICES - Natural disasters: for emergencies caused by the elements such as floods, earthquakes, and cyclones.

See also DEFENCE - Emergency management: for cross-jurisdictional operations to deal with large-scale emergencies.

See also HEALTH CARE - Public health services - Health disaster preparedness: for strategies to handle a large-scale medical emergency.

See also MARITIME SERVICES - Search and rescue - Rescue coordination: for coordinating maritime emergency services.

See also SECURITY - Law enforcement: for police services.'@en",'2015-06-11T07:53:30Z'^^xsd:dateTime,skos:Concept,'Emergency services'@en,,'Carelink'@en,<http://registry.it.csiro.au/def/agldwg/agift/community-services>,,"'Managing programs to provide urgent assistance in times of crisis or unforeseen circumstances. Monitoring compliance with equipment standards and regulating the use of volunteers. Coordinating government and community-based services within a region, in times of emergency. Includes land-based search and rescue operations outside urban areas.

See also COMMUNITY SERVICES - Accommodation services - Emergency accommodation: for providing temporary housing in times of disaster.

See also COMMUNITY SERVICES - Emergency services - Firefighting services: for urban search and rescue operations.

See also COMMUNITY SERVICES - Natural disasters: for emergencies caused by the elements such as floods, earthquakes, and cyclones.

See also DEFENCE - Emergency management: for cross-jurisdictional operations to deal with large-scale emergencies.

See also HEALTH CARE - Public health services - Health disaster preparedness: for strategies to handle a large-scale medical emergency.

See also MARITIME SERVICES - Search and rescue - Rescue coordination: for coordinating maritime emergency services.

See also SECURITY - Law enforcement: for police services.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,<http://registry.it.csiro.au/def/agldwg/agift/emergency-funding>|<http://registry.it.csiro.au/def/agldwg/agift/ambulance-services>|<http://registry.it.csiro.au/def/agldwg/agift/firefighting-services>,'Emergency services'@en,<http://registry.it.csiro.au/def/agldwg/agift/rescue-coordination>|<http://registry.it.csiro.au/def/agldwg/agift/health-disaster-preparedness>|<http://registry.it.csiro.au/def/agldwg/agift/law-enforcement>|<http://registry.it.csiro.au/def/agldwg/agift/emergency-management>,,
<http://registry.it.csiro.au/def/agldwg/agift/employment>,'2003-08-25'^^xsd:date,"'Formulating policy to support employment growth and regulate public or private sector working environments. Developing strategies to improve workplace relations, productivity and performance. Implementing labour market programs and providing funding. Administering regulatory bodies and arbitration services.'@en",'2015-06-11T07:25:07Z'^^xsd:dateTime,skos:Concept,'EMPLOYMENT'@en,,'Workplace relations'@en|'Industrial relations'@en|'Workplace management'@en|'Public service employment'@en,,,"'Formulating policy to support employment growth and regulate public or private sector working environments. Developing strategies to improve workplace relations, productivity and performance. Implementing labour market programs and providing funding. Administering regulatory bodies and arbitration services.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,<http://registry.it.csiro.au/def/agldwg/agift/workplace-agreement-processes>|<http://registry.it.csiro.au/def/agldwg/agift/human-resources-development>|<http://registry.it.csiro.au/def/agldwg/agift/industrial-awards-and-conditions>|<http://registry.it.csiro.au/def/agldwg/agift/labour-market-programs>,'EMPLOYMENT'@en,<http://registry.it.csiro.au/def/agldwg/agift/vocational-education>|<http://registry.it.csiro.au/def/agldwg/agift/trainee-programs>|<http://registry.it.csiro.au/def/agldwg/agift/public-service>,,<http://registry.it.csiro.au/def/agldwg/agift>
<http://registry.it.csiro.au/def/agldwg/agift/employment-advocacy-services>,'2003-08-26'^^xsd:date,"'Providing workplace relations information to employers and employees. Offering advice on rights and obligations, union membership or the implications of industrial action. Developing guidance for the negotiation and implementation of workplace agreements.'@en",'2004-08-26'^^xsd:date,skos:Concept,'Employment advocacy services'@en,,'Workplace advocacy services'@en|'Advocacy services'@en,<http://registry.it.csiro.au/def/agldwg/agift/workplace-agreement-processes>,,"'Providing workplace relations information to employers and employees. Offering advice on rights and obligations, union membership or the implications of industrial action. Developing guidance for the negotiation and implementation of workplace agreements.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Employment advocacy services'@en,,,
<http://registry.it.csiro.au/def/agldwg/agift/employment-services-marketing>,'2003-08-26'^^xsd:date,"'Administering programs that encourage and assist businesses to employ more staff. Liaising with employers to evaluate their needs for support. Providing information and resources to help locate suitable staff. Managing wage assistance and subsidy schemes. Includes promotional strategies and advertising campaigns to advocate employment in particular industries.

See also EDUCATION AND TRAINING - Vocational education: for on-the-job training in particular disciplines.

See also EDUCATION AND TRAINING - Vocational education - Industry collaboration: Connecting partnerships between industry and tertiary and vocational education to train a responsive workforce based on the skillsets needed by Australian enterprises and industry sectors.'@en",'2015-06-11T07:47:11Z'^^xsd:dateTime,skos:Concept,'Employment services marketing'@en,,'Employment marketing'@en|'VolunteerSearch'@en|'JobSearch'@en|'Job creation programs'@en|'Supported wages'@en|'Wage assistance'@en|'Job search'@en,<http://registry.it.csiro.au/def/agldwg/agift/labour-market-programs>,,"'Administering programs that encourage and assist businesses to employ more staff. Liaising with employers to evaluate their needs for support. Providing information and resources to help locate suitable staff. Managing wage assistance and subsidy schemes. Includes promotional strategies and advertising campaigns to advocate employment in particular industries.

See also EDUCATION AND TRAINING - Vocational education: for on-the-job training in particular disciplines.

See also EDUCATION AND TRAINING - Vocational education - Industry collaboration: Connecting partnerships between industry and tertiary and vocational education to train a responsive workforce based on the skillsets needed by Australian enterprises and industry sectors.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Employment services marketing'@en,<http://registry.it.csiro.au/def/agldwg/agift/vocational-education>|<http://registry.it.csiro.au/def/agldwg/agift/industry-collaboration>,,
<http://registry.it.csiro.au/def/agldwg/agift/endangered-species-protection>,'2003-08-28'^^xsd:date,"'Identifying groups of plants or animals that are under threat or at risk of extinction. Evaluating the source of the danger, whether direct harm to individual organisms or the indirect impacts of environmental change. Administering programs to protect and repopulate specific areas. Includes liaison with national parks, scientific research bodies and community groups.

See also ENVIRONMENT - Natural heritage protection - Wilderness area management: for the removal of feral animals and plants.

See also ENVIRONMENT - Natural heritage protection - Wildlife sanctuary management: for facilities to house members of endangered species.'@en",'2015-06-11T02:08:30Z'^^xsd:dateTime,skos:Concept,'Endangered species protection'@en,,'Threatened species'@en|'Rare species'@en|'Vulnerable species'@en,<http://registry.it.csiro.au/def/agldwg/agift/conservation-programs>,,"'Identifying groups of plants or animals that are under threat or at risk of extinction. Evaluating the source of the danger, whether direct harm to individual organisms or the indirect impacts of environmental change. Administering programs to protect and repopulate specific areas. Includes liaison with national parks, scientific research bodies and community groups.

See also ENVIRONMENT - Natural heritage protection - Wilderness area management: for the removal of feral animals and plants.

See also ENVIRONMENT - Natural heritage protection - Wildlife sanctuary management: for facilities to house members of endangered species.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Endangered species protection'@en,,,
<http://registry.it.csiro.au/def/agldwg/agift/energy-resources>,'2004-08-03'^^xsd:date,"'Developing policy and administering legislation relating to fossil fuels, renewable and other energy industries. Providing advice on energy market reform, research and development, and environmental assessments.

See also CIVIC INFRASTRUCTURE - Energy supply: for regulating the delivery and pricing of energy resources.

See also SCIENCE: for conducting research into the use and development of energy resources.'@en",'2015-06-11T08:13:39Z'^^xsd:dateTime,skos:Concept,'Energy resources'@en,<http://unstats.un.org/unsd/cr/registry/regcs.asp?Cl=4&Lg=1&Co=04.3.3>|<http://unstats.un.org/unsd/cr/registry/regcs.asp?Cl=4&Lg=1&Co=04.3.5>,'Nuclear energy'@en|'Fuel prices'@en|'Electricity'@en,<http://registry.it.csiro.au/def/agldwg/agift/natural-resources>,,"'Developing policy and administering legislation relating to fossil fuels, renewable and other energy industries. Providing advice on energy market reform, research and development, and environmental assessments.

See also CIVIC INFRASTRUCTURE - Energy supply: for regulating the delivery and pricing of energy resources.

See also SCIENCE: for conducting research into the use and development of energy resources.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,<http://registry.it.csiro.au/def/agldwg/agift/renewable-energy-development>|<http://registry.it.csiro.au/def/agldwg/agift/fossil-fuel-management>,'Energy resources'@en,<http://registry.it.csiro.au/def/agldwg/agift/energy-supply>|<http://registry.it.csiro.au/def/agldwg/agift/science>,<http://unstats.un.org/unsd/cr/references/cofog/version1/04-3-3>|<http://unstats.un.org/unsd/cr/references/cofog/version1/04-3-5>,
<http://registry.it.csiro.au/def/agldwg/agift/energy-supply>,'2003-08-28'^^xsd:date,"'Regulating the provision of energy resources and other utilities. Installing infrastructure to facilitate energy supply. Monitoring providers to ensure all citizens receive an adequate level of service to meet basic requirements. Encouraging consumers to conserve energy, and to support renewable energy development.

See also BUSINESS SUPPORT AND REGULATION - Fair trading compliance - Prices surveillance: for regulating the charges for energy supply.

See also NATURAL RESOURCES - Energy resources: for developing energy-producing industries.'@en",'2015-06-09T05:59:42Z'^^xsd:dateTime,skos:Concept,'Energy supply'@en,,'Public utilities management'@en|'Electricity services'@en|'Water services'@en|'Gas services'@en,<http://registry.it.csiro.au/def/agldwg/agift/civic-infrastructure>,,"'Regulating the provision of energy resources and other utilities. Installing infrastructure to facilitate energy supply. Monitoring providers to ensure all citizens receive an adequate level of service to meet basic requirements. Encouraging consumers to conserve energy, and to support renewable energy development.

See also BUSINESS SUPPORT AND REGULATION - Fair trading compliance - Prices surveillance: for regulating the charges for energy supply.

See also NATURAL RESOURCES - Energy resources: for developing energy-producing industries.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Energy supply'@en,<http://registry.it.csiro.au/def/agldwg/agift/water-resources>|<http://registry.it.csiro.au/def/agldwg/agift/energy-resources>|<http://registry.it.csiro.au/def/agldwg/agift/prices-surveillance>,,
<http://registry.it.csiro.au/def/agldwg/agift/engineering-and-technology-sciences>,'2003-08-25'^^xsd:date,"'Conducting research into the practical application of scientific knowledge for systematic design, construction and management activities. Developing products and processes to support industry, communications, defence and civic infrastructure. Includes component analysis, design and manipulation of systems to solve complex problems.

See also CIVIC INFRASTRUCTURE - Civic management - Engineering services: for practical input into civic infrastructure projects.

See also DEFENCE - Defence strategic support - Defence science and technology: for applying scientific knowledge to military activities.

See also SCIENCE - Biological sciences - Genetic engineering: for the design and manipulation of biological organisms.

See also TRADE - Intellectual property management: for registering new products or processes.'@en",'2015-06-11T07:50:10Z'^^xsd:dateTime,skos:Concept,'Engineering and technology sciences'@en,<http://unstats.un.org/unsd/cr/registry/regcs.asp?Cl=4&Lg=1&Co=04.8.5>,'Electrical engineering'@en|'Systems engineering'@en|'Information technology'@en|'Software engineering'@en|'Chemical engineering'@en|'Technology research'@en|'Mechanical engineering'@en,<http://registry.it.csiro.au/def/agldwg/agift/applied-sciences>,,"'Conducting research into the practical application of scientific knowledge for systematic design, construction and management activities. Developing products and processes to support industry, communications, defence and civic infrastructure. Includes component analysis, design and manipulation of systems to solve complex problems.

See also CIVIC INFRASTRUCTURE - Civic management - Engineering services: for practical input into civic infrastructure projects.

See also DEFENCE - Defence strategic support - Defence science and technology: for applying scientific knowledge to military activities.

See also SCIENCE - Biological sciences - Genetic engineering: for the design and manipulation of biological organisms.

See also TRADE - Intellectual property management: for registering new products or processes.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Engineering and technology sciences'@en,<http://registry.it.csiro.au/def/agldwg/agift/defence-science-and-technology>|<http://registry.it.csiro.au/def/agldwg/agift/engineering-services>|<http://registry.it.csiro.au/def/agldwg/agift/intellectual-property-management>|<http://registry.it.csiro.au/def/agldwg/agift/aircraft-standards>,<http://unstats.un.org/unsd/cr/references/cofog/version1/04-8-5>,
<http://registry.it.csiro.au/def/agldwg/agift/engineering-services>,'2003-08-28'^^xsd:date,"'Providing professional advice and supervising the design and construction of public works, such as roads, bridges, dams or harbours. Approving plans and conducting inspections to ensure building is completed in accordance with approved plans.

See also CIVIC INFRASTRUCTURE - Civic management - Architectural services: for professional advice on the design and construction of public buildings.

See also CIVIC INFRASTRUCTURE - Civic management - Building regulations and standards: for ensuring works meet legal requirements.

See also SCIENCE - Applied sciences - Engineering and technology sciences: for engineering research and development activities.'@en",'2015-06-09T05:55:48Z'^^xsd:dateTime,skos:Concept,'Engineering services'@en,,'Civil engineering'@en,<http://registry.it.csiro.au/def/agldwg/agift/civic-management>,,"'Providing professional advice and supervising the design and construction of public works, such as roads, bridges, dams or harbours. Approving plans and conducting inspections to ensure building is completed in accordance with approved plans.

See also CIVIC INFRASTRUCTURE - Civic management - Architectural services: for professional advice on the design and construction of public buildings.

See also CIVIC INFRASTRUCTURE - Civic management - Building regulations and standards: for ensuring works meet legal requirements.

See also SCIENCE - Applied sciences - Engineering and technology sciences: for engineering research and development activities.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Engineering services'@en,<http://registry.it.csiro.au/def/agldwg/agift/engineering-and-technology-sciences>|<http://registry.it.csiro.au/def/agldwg/agift/transport-infrastructure-development>,,
<http://registry.it.csiro.au/def/agldwg/agift/entomology>,'2003-08-25'^^xsd:date,"'Conducting research into insects and their management by understanding the role of insects and other invertebrates in the natural, urban and rural environments. Developing safe, sustainable methods of pest management.

See also PRIMARY INDUSTRIES - Chemical and pesticide regulation: for the registration and use of pesticides.'@en",'2015-06-11T02:01:45Z'^^xsd:dateTime,skos:Concept,'Entomology'@en,,,<http://registry.it.csiro.au/def/agldwg/agift/biological-sciences>,,"'Conducting research into insects and their management by understanding the role of insects and other invertebrates in the natural, urban and rural environments. Developing safe, sustainable methods of pest management.

See also PRIMARY INDUSTRIES - Chemical and pesticide regulation: for the registration and use of pesticides.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Entomology'@en,<http://registry.it.csiro.au/def/agldwg/agift/chemical-and-pesticide-regulation>,,
<http://registry.it.csiro.au/def/agldwg/agift/environment>,'2003-08-28'^^xsd:date,"'Developing policy to support the management of the surrounding natural and built environments. Balancing competing requirements to generate long term sustainable benefits for industry, tourism and the community. Protecting elements of the natural and built environment that are of special significance. Includes conservation of the national estate and world heritage concerns.'@en",'2005-05-26'^^xsd:date,skos:Concept,'ENVIRONMENT'@en,<http://unstats.un.org/unsd/cr/registry/regcs.asp?Cl=4&Lg=1&Co=05>,'Environmental monitoring'@en,,,"'Developing policy to support the management of the surrounding natural and built environments. Balancing competing requirements to generate long term sustainable benefits for industry, tourism and the community. Protecting elements of the natural and built environment that are of special significance. Includes conservation of the national estate and world heritage concerns.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,<http://registry.it.csiro.au/def/agldwg/agift/world-heritage-listings>|<http://registry.it.csiro.au/def/agldwg/agift/oceans-governance>|<http://registry.it.csiro.au/def/agldwg/agift/marine-life-protection-programs>|<http://registry.it.csiro.au/def/agldwg/agift/pollutant-prevention-programs>|<http://registry.it.csiro.au/def/agldwg/agift/built-environment>|<http://registry.it.csiro.au/def/agldwg/agift/environmental-impact-assessment>|<http://registry.it.csiro.au/def/agldwg/agift/historic-relic-protection>|<http://registry.it.csiro.au/def/agldwg/agift/natural-heritage-protection>|<http://registry.it.csiro.au/def/agldwg/agift/conservation-programs>|<http://registry.it.csiro.au/def/agldwg/agift/climate-information-services>,'ENVIRONMENT'@en,<http://registry.it.csiro.au/def/agldwg/agift/water-conservation-plans>|<http://registry.it.csiro.au/def/agldwg/agift/natural-resources>|<http://registry.it.csiro.au/def/agldwg/agift/waterway-management>,<http://unstats.un.org/unsd/cr/references/cofog/version1/05>,<http://registry.it.csiro.au/def/agldwg/agift>
<http://registry.it.csiro.au/def/agldwg/agift/environmental-impact-assessment>,'2003-08-28'^^xsd:date,"'Evaluating the effects of industry, tourism or community use on the natural and built environments. Conducting inspections of premises, equipment or operations. Providing advice on proposed infrastructure projects, commercial or residential developments. Includes emergency assessments following industrial accidents or natural disasters.'@en",'2015-06-11T07:25:37Z'^^xsd:dateTime,skos:Concept,'Environmental impact assessment'@en,,,<http://registry.it.csiro.au/def/agldwg/agift/environment>,,"'Evaluating the effects of industry, tourism or community use on the natural and built environments. Conducting inspections of premises, equipment or operations. Providing advice on proposed infrastructure projects, commercial or residential developments. Includes emergency assessments following industrial accidents or natural disasters.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Environmental impact assessment'@en,<http://registry.it.csiro.au/def/agldwg/agift/mining-regulations>|<http://registry.it.csiro.au/def/agldwg/agift/marine-and-rural-regulation>,,
<http://registry.it.csiro.au/def/agldwg/agift/epidemiology>,'2003-08-25'^^xsd:date,"'Administering programs to identify and prevent the large-scale outbreak of disease. Conducting research into the presence of communicable diseases and their distribution within the population. Developing strategies to monitor the incidence of infection and predict a possible epidemic.

See also HEALTH CARE - Medical research - Population-based research: for clinical investigation of health in particular groups.

See also HEALTH CARE - Public health services - Notifiable disease management: for collecting epidemiological data.

See also SCIENCE - Medical and health sciences: for experimental research into human health and disease.'@en",'2015-06-11T07:55:38Z'^^xsd:dateTime,skos:Concept,'Epidemiology'@en,,,<http://registry.it.csiro.au/def/agldwg/agift/public-health-services>,,"'Administering programs to identify and prevent the large-scale outbreak of disease. Conducting research into the presence of communicable diseases and their distribution within the population. Developing strategies to monitor the incidence of infection and predict a possible epidemic.

See also HEALTH CARE - Medical research - Population-based research: for clinical investigation of health in particular groups.

See also HEALTH CARE - Public health services - Notifiable disease management: for collecting epidemiological data.

See also SCIENCE - Medical and health sciences: for experimental research into human health and disease.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Epidemiology'@en,<http://registry.it.csiro.au/def/agldwg/agift/medical-and-health-sciences>,,
<http://registry.it.csiro.au/def/agldwg/agift/equipment-licensing>,'2003-08-28'^^xsd:date,"'Processing applications and issuing licenses for telecommunications equipment, such as transmitters, wireless rooftop links or cable capacity. Drafting licence conditions. Establishing standards for connecting or labelling telecommunications equipment.'@en",'2004-08-17'^^xsd:date,skos:Concept,'Equipment licensing'@en,,'Equipment licenses'@en,<http://registry.it.csiro.au/def/agldwg/agift/telecommunications>,,"'Processing applications and issuing licenses for telecommunications equipment, such as transmitters, wireless rooftop links or cable capacity. Drafting licence conditions. Establishing standards for connecting or labelling telecommunications equipment.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Equipment licensing'@en,,,
<http://registry.it.csiro.au/def/agldwg/agift/ethical-compliance>,'2014-05-20'^^xsd:date,"'Administering programs to ensure research is carried out in an acceptable manner. Assessing research methods against accepted moral principles and standards of conduct. Monitoring activities, performing inspections and handling complaints.'@en",,skos:Concept,'Ethical compliance'@en,,'Research ethics'@en,<http://registry.it.csiro.au/def/agldwg/agift/science>,,"'Administering programs to ensure research is carried out in an acceptable manner. Assessing research methods against accepted moral principles and standards of conduct. Monitoring activities, performing inspections and handling complaints.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Ethical compliance'@en,,,
<http://registry.it.csiro.au/def/agldwg/agift/exchange-rates>,'2003-08-25'^^xsd:date,'Monitoring the value of the Australian dollar currency against the value of other currencies. Forecasting the consequences and economic impact of fluctuations in exchange rates. Developing strategies to minimise those effects.'@en,'2004-08-06'^^xsd:date,skos:Concept,'Exchange rates'@en,,'Foreign exchange rates'@en|'Currency rates'@en|'International exchange rates'@en|'Money rates'@en,<http://registry.it.csiro.au/def/agldwg/agift/monetary-policy>,,'Monitoring the value of the Australian dollar currency against the value of other currencies. Forecasting the consequences and economic impact of fluctuations in exchange rates. Developing strategies to minimise those effects.'@en,<http://registry.it.csiro.au/def/agldwg/agift>,,'Exchange rates'@en,,,
<http://registry.it.csiro.au/def/agldwg/agift/exhibition-programs>,'2003-08-28'^^xsd:date,"'Planning and implementing displays of material from cultural collections. Conducting research and selecting items for inclusion in displays. Identifying relevant material in other collections. Ensuring installations meet preservation requirements.

See also CULTURAL AFFAIRS - Collection promotion - Publicity programs: for promoting and marketing exhibitions.

See also CULTURAL AFFAIRS - Collection management - Collection acquisition: for negotiating the temporary use of items from other institutions.'@en",'2015-06-11T04:23:38Z'^^xsd:dateTime,skos:Concept,'Exhibition programs'@en,,'Displays and exhibitions'@en,<http://registry.it.csiro.au/def/agldwg/agift/collection-promotion>,,"'Planning and implementing displays of material from cultural collections. Conducting research and selecting items for inclusion in displays. Identifying relevant material in other collections. Ensuring installations meet preservation requirements.

See also CULTURAL AFFAIRS - Collection promotion - Publicity programs: for promoting and marketing exhibitions.

See also CULTURAL AFFAIRS - Collection management - Collection acquisition: for negotiating the temporary use of items from other institutions.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Exhibition programs'@en,,,
<http://registry.it.csiro.au/def/agldwg/agift/export-promotion>,'2003-08-26'^^xsd:date,"'Promoting Australian businesses in the global marketplace. Developing long term sustainable exports and diversifying markets through grants schemes. Providing export advice and statistics. Includes conducting promotional programs overseas to enhance the awareness and image of Australian products.

See also INTERNATIONAL RELATIONS - Overseas promotion: for identifying opportunities to promote Australian business overseas.

See also TRADE - Trade expositions: for events to maximise marketing opportunities.'@en",'2015-06-11T07:26:33Z'^^xsd:dateTime,skos:Concept,'Export promotion'@en,,'Export incentives'@en,<http://registry.it.csiro.au/def/agldwg/agift/export-regulation>,,"'Promoting Australian businesses in the global marketplace. Developing long term sustainable exports and diversifying markets through grants schemes. Providing export advice and statistics. Includes conducting promotional programs overseas to enhance the awareness and image of Australian products.

See also INTERNATIONAL RELATIONS - Overseas promotion: for identifying opportunities to promote Australian business overseas.

See also TRADE - Trade expositions: for events to maximise marketing opportunities.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Export promotion'@en,<http://registry.it.csiro.au/def/agldwg/agift/overseas-promotion>|<http://registry.it.csiro.au/def/agldwg/agift/arts-development>,,
<http://registry.it.csiro.au/def/agldwg/agift/export-regulation>,'2003-08-26'^^xsd:date,"'Controlling the international sale and movement of goods from Australia. Ensuring compliance with domestic and international protocols and guidelines. Issuing export permits and licences, directing price regulation at port terminals and exit points. Includes monitoring international trade and consulting with primary producers, industry organisations and other stakeholders.

See also MARITIME SERVICES - Cargo control: for the handling and storage of exports on marine vessels.

See also MARITIME SERVICES - Port regulation: for managing sea-based exit points.

See also TRANSPORT - Freight movement regulation: for the transportation of goods by air, road or rail.'@en",'2005-03-15'^^xsd:date,skos:Concept,'Export regulation'@en,,'Export monitoring'@en,<http://registry.it.csiro.au/def/agldwg/agift/trade>,,"'Controlling the international sale and movement of goods from Australia. Ensuring compliance with domestic and international protocols and guidelines. Issuing export permits and licences, directing price regulation at port terminals and exit points. Includes monitoring international trade and consulting with primary producers, industry organisations and other stakeholders.

See also MARITIME SERVICES - Cargo control: for the handling and storage of exports on marine vessels.

See also MARITIME SERVICES - Port regulation: for managing sea-based exit points.

See also TRANSPORT - Freight movement regulation: for the transportation of goods by air, road or rail.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,<http://registry.it.csiro.au/def/agldwg/agift/export-promotion>|<http://registry.it.csiro.au/def/agldwg/agift/prohibited-export-control>,'Export regulation'@en,<http://registry.it.csiro.au/def/agldwg/agift/port-regulation>|<http://registry.it.csiro.au/def/agldwg/agift/freight-movement-regulation>|<http://registry.it.csiro.au/def/agldwg/agift/cargo-control>,,
